"ID","区分","機種名","型式名","慣用名","短縮名","メーカー","内規","カテゴリー","型式番号","導入開始日","スマート","遊タイム","有効"
"9871","S","S 織田信奈の野望 全国版","S織田信奈の野望 全国版TA",,"織田信奈全国版","新日テクノロジー","6.5号機","AT","3S0139","2023/7/18","0","0","1"
"9870","P","Pハイスクール・フリート オールスター","Pハイスクール・フリート2MH",,"はいふり2","メーシー",,"ライトミドル","3P0424","2023/9/4","0","0","1"
"9869","P","Pルパン三世 消されたルパン2022 99ver.","P消されたルパン9YU1Y",,"ルパン三世 消されたルパン2022甘","平和",,"甘デジ","310022","2023/9/19","0","1","1"
"9868","S","L戦国乙女4 戦乱に閃く炯眼の軍師","L戦国乙女4S3",,"戦国乙女4","オリンピアエステート","6.5号機","AT","3S0520","2023/9/4","1","0","1"
"9867","P","Pデビルマン黄金黙示録","Pデビルマン黄金黙示録N-K1 YT250",,"デビルマン黄金黙示録","ニューギン",,"甘デジ","1P1539","2023/8/7","0","1","1"
"9866","S","ファミスタ回胴版!!","S/ファミスタ回胴版!!/FB",,"ファミスタ回胴版!!","ユニバーサルブロス","6号機","ART","2S1734","2023/9/4","0","0","1"
"9865","P","P七つの美徳 ゴールデンエンジェルタイム","P七つの美徳V1G",,"七つの美徳","高尾",,"ライトミドル","1P1843","2023/8/21","0","1","1"
"9864","S","パチスロ傷物語 -始マリノ刻-","S 傷物語 FS",,"傷物語","サミー","6.5号機","AT","230305","2023/9/4","0","0","1"
"9863","P","P真・一騎当千～桃園の誓い～","P真・一騎当千~桃園の誓い~FM-JT",,"真・一騎当千～桃園の誓い～","D-light",,"ミドル","310129","2023/8/7","0","0","1"
"9862","P","Pシティーハンター 俺の心を震わせた日 凄ライトミドル","Pシティーハンター4L9YZ3",,"シティーハンターライトミドル","アムテックス",,"ライトミドル","310119","2023/8/21","0","0","1"
"9861","S","スーパービンゴネオクラシック-30","SスーパービンゴHY1-30",,"スーパビンゴNC-30","ベルコ","6.5号機","AT","3S0080","2023/8/7","0","0","1"
"9860","S","スーパービンゴネオクラシック","SスーパービンゴHH1",,"スーパビンゴNC","ベルコ","6.5号機","AT","2S1848","2023/8/7","0","0","1"
"9859","P","P聖闘士星矢 超流星LIGHT","P聖闘士星矢超流星AHBC",,"聖闘士星矢 超流星LIGHT","三洋物産",,"ライトミドル","2P0707","2023/8/21","0","1","1"
"9858","P","P GO!GO!マリン 3000","PGO!GO!マリン3000HCD",,"GO!GO!マリン 3000","サンスリー",,"ライトミドル","310152","2023/8/7","0","0","1"
"9857","S","SOZ-1-AA-30","SOZ1-AA-30",,"OZ-1-AA-30","オズ","6号機","A","2S1541","2023/6/19","0","0","1"
"9856","S","防空少女ラブキューレ2～極限の共鳴～","Lラブキューレ2PS",,"ラブキューレ2","コナミアミューズメント","6.5号機","ART","3S0048","2023/8/7","1","0","1"
"9855","P","Pベルセルク無双 冥府魔道ver.","Pベルセルク無双~冥府魔道M12-Z",,"ベルセルク無双 冥府魔道ver.","ニューギン",,"その他","2P1823","2023/6/19","0","0","1"
"9854","S","パチスロ 戦国†恋姫","S戦国恋姫FC",,"戦国恋姫","藤商事","6.5号機","AT","3S0259","2023/7/18","0","0","1"
"9853","P","スマパチ RAVE 覚聖ループ","e RAVE 覚聖ループJMC",,"RAVE 覚聖ループ","JFJ",,"ミドル","3P0212","2023/7/3","1","0","1"
"9852","P","ぱちんこ 乃木坂46 キュンキュンLIGHT ver.","Pぱちんこ乃木坂46キュンキュンライトver.KAC1",,"乃木坂46 キュンキュンLIGHT ver.","京楽",,"ライトミドル","2P1731","2023/6/19","0","0","1"
"9851","P","PF機動戦士ガンダムSEED","Pフィーバー機動戦士ガンダムSEED S",,"機動戦士ガンダムSEED","SANKYO",,"ミドル","3P0384","2023/8/7","0","0","1"
"9850","P","Pビッグドリーム3 77ver.","PビッグドリームSSPH",,"ビッグドリーム3 77ver.","サミー",,"甘デジ","310100","2023/8/7","0","0","1"
"9849","S","スマスロキン肉マン～7人の悪魔超人編～","Lパチスロキンニクマン4SLDC",,"Lキン肉マン","セブンリーグ","6.5号機","AT","3S0295","2023/8/7","1","0","1"
"9848","S","ゴーゴージャグラー3","Sゴーゴージャグラー3KA",,"ゴージャグ3","北電子","6号機","A","2S0743","2023/7/3","0","0","1"
"9847","P","ぱちんこ ウルトラマンティガ ウルトラ超光ライトver.","PぱちんこウルトラマンティガKACJ1",,"ウルトラマンティガ ウルトラ超光ライトver.","オッケー.",,"ライトミドル","210342","2023/6/5","0","0","1"
"9846","P","e花の慶次 裂 一刀両断","e花の慶次~裂一刀両断DL2-MX",,"花の慶次 裂 一刀両断","ニューギン",,"ミドル","3P0090","2023/7/3","1","0","1"
"9845","S","ぱちスロ にゃんこ大戦争 BIGBANG","Lパチスロにゃんこ大戦争MK",,"にゃんこ大戦争","京楽","6.5号機","AT","3S0209","2023/6/5","1","0","1"
"9844","S","パチスロ 蛇喰夢子という女","S蛇喰夢子という女NE",,"蛇喰夢子という女","ネット","6.5号機","AT","2S1871","2023/7/3","0","0","1"
"9843","S","パチスロ からくりサーカス","LからくりサーカスG",,"からくりサーカス","SANKYO","6.5号機","AT","2S1798","2023/7/3","1","0","1"
"9842","P","eキャッツ・アイ","eキャッツアイ3H4YZ3",,"キャッツ・アイ","平和",,"ミドル","3P0098","2023/7/3","1","0","1"
"9841","S","スマスロ バイオハザード:ヴェンデッタ","L バイオハザードヴェンデッタ FK",,"バイオヴェンデッタ","サミー","6.5号機","AT","3S0143","2023/7/24","1","0","1"
"9840","P","Pアナザーゴッドハーデス-狂乱-","Pアナザーゴッドハーデス3MC",,"アナザーゴッドハーデス-狂乱-","メーシー",,"ミドル","210335","2023/7/3","0","0","1"
"9839","S","スマスロ 戦国BASARA GIGA","L戦国BASARAギガZE",,"戦国BASARA","エンターライズ","6.5号機","AT","3S0064","2023/8/7","1","0","1"
"9838","P","P貞子3D3","P貞子3D3V1B",,"貞子3D3","高尾",,"その他","2P1298","2023/7/3","0","0","1"
"9837","S","Lベルセルク無双","Lパチスロベルセルク無双EV",,"ベルセルク無双","エキサイト","6.5号機","AT","3S0001","2023/6/5","1","0","1"
"9836","P","PFクィーンII 30th ANNIVERSARY EDITION","PフィーバークィーンII V",,"クィーンII 30th ANNIVERSARY EDITION","ジェイビー",,"甘デジ","3P0229","2023/7/18","0","0","1"
"9835","P","P地獄少女 Light","P地獄少女 Light FVB",,"地獄少女 Light","藤商事",,"ライトミドル","2P1485","2023/6/5","0","0","1"
"9834","P","Pブラックラグーン4","Pブラックラグーン4GFPJ",,"ブラックラグーン4","サミー",,"ミドル","310030","2023/7/3","0","0","1"
"9833","P","PA大海物語5 Withアグネス・ラム","PA大海物語5ARBC",,"大海物語5 Withアグネス・ラム","三洋物産",,"甘デジ","210400","2023/7/3","0","1","1"
"9832","P","P大線香花火","P大線香花火X",,"大線香花火","A-gon",,"その他","0P0303","2023/5/22","0","0","1"
"9831","S","スロット ソードアート・オンライン","Lスロット ソードアート・オンラインB2",,"SAO","大都技研","6.5号機","AT","2S1694","2023/5/15","1","0","1"
"9830","P","P コードギアス 反逆のルルーシュ Rebellion to Re;surrection","Pコードギアス 反逆のルルーシュ3V",,"P コードギアス 反逆のルルーシュ Rebellion to Re;surrection","ビスティ",,"ミドル","2P1697","2023/5/8","0","0","1"
"9829","S","SLOTメイドインアビス","S/メイドインアビス/EN",,"メイドインアビス","ミズホ","6.5号機","AT","2S1511","2023/6/5","0","0","1"
"9828","P","Pyes!高須クリニック青天 はじまりは4500","Pyes!高須クリニック4500から青天VI",,"yes!高須クリニック4500","豊丸",,"その他","3P0013","2023/6/5","0","0","1"
"9827","P","Pわんニャンアドベンチャー","PわんニャンアドベンチャーHCB",,"わんニャンアドベンチャー","サンスリー",,"ライトミドル","2P0756","2023/6/5","0","0","1"
"9826","P","P銀河鉄道999 Next Journey 1/100ver.","P銀河鉄道999NJL0YU1Y",,"銀河鉄道999 Next Journey甘","アムテックス",,"甘デジ","2P1248","2023/6/19","0","1","1"
"9825","P","PFスプラッシュ×スプラッシュ","Pフィーバースプラッシュ×スプラッシュ",,"スプラッシュ×スプラッシュ","SANKYO",,"ライトミドル","2P1725","2023/6/5","0","0","1"
"9824","P","ぱちんこ 新・必殺仕置人S","eぱちんこ新必殺仕置人 激闘K6",,"新・必殺仕置人S","京楽",,"ミドル","3P0061","2023/4/24","1","0","1"
"9823","P","P哲也","P哲也4AM-JV",,"哲也","D-light",,"ライトミドル","2P1254","2023/5/8","0","0","1"
"9822","P","P甲鉄城のカバネリ～4,000連激ver.～","P甲鉄城のカバネリSFPA",,"カバネリ～4,000連激ver.～","サミー",,"ミドル","2P1308","2023/6/5","0","0","1"
"9821","P","Pジューシーハニーハーレム","PジューシーハニーハーレムMF",,"ジューシーハニーハーレム","サンセイR&D",,"ミドル","2P1319","2023/5/8","0","0","1"
"9820","S","ジャベリン","SジャベリンSA",,"ジャベリン","JPS","6.5号機","AT","230378","2023/5/22","0","0","1"
"9819","P","Pやじきた道中記","Pやじきた道中記MM",,"やじきた道中記","メーシー",,"ライトミドル","2P1622","2023/5/22","0","0","1"
"9818","S","ウルトラちゃぶ台返し","SチャブダイEB6",,"ウルトラちゃぶ台返し","ベルコ","6.5号機","AT","2S1767","2023/6/5","0","0","1"
"9817","P","P新・遠山の金さん 77Ver.","P新・遠山の金さん77Ver.JWZ",,"新・遠山の金さん 77Ver.","JFJ",,"甘デジ","210292","2023/5/8","0","1","1"
"9816","S","パチスロ コードギアス 反逆のルルーシュ3 C.C.&Kallen ver.","S コードギアス3C.C. FS",,"ギアス3 C.C.","サミー","6.5号機","AT","2S1060","2023/6/5","0","0","1"
"9815","P","PA真・怪獣王ゴジラ2 78Ver.","PA真・怪獣王ゴジラ2N2-K",,"真・怪獣王ゴジラ2 78Ver.","ニューギン",,"甘デジ","210349","2023/5/8","0","0","1"
"9814","P","P TENRYU 7","P天龍∞SEVEN R1",,"TENRYU 7","マルホン",,"その他","2P1422","2023/4/17","0","0","1"
"9813","P","PA元祖ギンギラパラダイス 強99ver.","PA元祖ギンギラパラダイスHBC",,"元祖ギンギラパラダイス 強99ver.","サンスリー",,"甘デジ","1P1530","2023/5/8","0","1","1"
"9812","S","Lゴブリンスレイヤー","LゴブリンスレイヤーRD",,"ゴブスレ","オレンジ","6.5号機","AT","2S1588","2023/4/17","1","0","1"
"9811","P","Pゴブリンスレイヤー","PゴブリンスレイヤーJGZ",,"Pゴブスレ","JFJ",,"ミドル","210358","2023/5/8","0","0","1"
"9810","P","PバイオハザードRE:2","PバイオハザードRE2H1YZ3",,"バイオハザードRE:2","アムテックス",,"ミドル","310014","2023/5/8","0","0","1"
"9809","S","L主役は銭形4","L主役は銭形4L1",,"主役は銭形4","オリンピア","6.5号機","AT","2S1590","2023/5/8","1","0","1"
"9808","P","P北斗の拳 暴凶星","P北斗の拳暴凶星SFPA",,"北斗の拳 暴凶星","サミー",,"ミドル","2P1336","2023/5/8","0","0","1"
"9807","P","PF蒼穹のファフナー3 EXODUS 織姫Light ver.","P蒼穹のファフナー 超蒼穹Y",,"ファフナー3 EXODUS 織姫Light ver.","SANKYO",,"その他","1P1325","2023/6/5","0","0","1"
"9806","P","PF機動戦士ガンダムユニコーン LIGHT ver.","PAフィーバー機動戦士ガンダムユニコーンbY",,"ユニコーン LIGHT ver.","SANKYO",,"甘デジ","1P0892","2023/5/22","0","1","1"
"9805","S","課長 熊田工作","S課長熊田工作GZA",,"課長 熊田工作","ネット","6.5号機","AT","230226","2023/5/22","0","0","1"
"9804","S","マイフラワー2-30","SマイフラワーII EE-30",,"マイフラワー2-30","北電子","6.5号機","AT","2S1504","2023/5/8","0","0","1"
"9803","S","真天下布武","S真天下布武DD",,"真天下布武","山佐","6.5号機","AT","230183","2023/6/5","0","0","1"
"9802","P","P GO!GO!郷 comeback stage","PGO!GO!郷M3-X",,"GO!GO!郷 comeback stage","ニューギン",,"ミドル","2P1499","2023/4/3","0","0","1"
"9801","P","ぱちんこ 乃木坂46 トレジャースペック","Pぱちんこ乃木坂46トレジャーver.KCJ2",,"乃木坂46 TS","京楽",,"ミドル","210302","2023/3/6","0","0","1"
"9800","S","アナザーゴッドハーデス-解き放たれし槍撃ver.-","S/アナザーゴッドハーデス/SL",,"ハーデス槍撃","ミズホ","6.5号機","AT","230344","2023/4/17","0","0","1"
"9799","S","パチスロ機動戦士ガンダムユニコーン","S機動戦士ガンダムユニコーンsF",,"ガンダムUC","ビスティ","6.5号機","AT","2S1613","2023/3/6","0","0","1"
"9798","S","パチスロ 炎炎ノ消防隊","S炎炎ノ消防隊jS",,"炎炎ノ消防隊","SANKYO","6.5号機","AT","2S1217","2023/5/8","0","0","1"
"9797","P","e聖闘士星矢 超流星CliMAX349","e聖闘士星矢超流星EHTA",,"聖闘士星矢 超流星CliMAX349","三洋物産",,"ミドル","2P1617","2023/4/3","1","0","1"
"9796","P","eルパン三世 THE FIRST「スマパチ」","eルパン三世ザファーストH4YZ3",,"eルパン三世 THE FIRST","平和",,"ミドル","2P1646","2023/4/17","1","0","1"
"9795","P","PF炎炎ノ消防隊","Pフィーバー炎炎ノ消防隊G",,"炎炎ノ消防隊","SANKYO",,"ミドル","2P0685","2023/4/17","0","0","1"
"9794","P","Pとある科学の超電磁砲 最強御坂ver.","Pとある科学の超電磁砲 最強御坂VerRVZ",,"レールガン最強御坂ver.","オレンジ",,"甘デジ","210239","2023/3/20","0","1","1"
"9793","P","Pバベル5000","PバベルMN",,"バベル5000","ミズホ",,"その他","2P1445","2023/3/20","0","0","1"
"9792","S","パチスロOVERLORD絶対支配者光臨II","S/OVERLORD絶対支配者光臨II/SX","オーバーロード絶対支配者光臨II","オバロII","オーイズミ","6.5号機","AT","2S1507","2023/3/20","0","0","1"
"9791","P","P宇宙戦艦ヤマト2202 -ONLY ONE- LIGHT Ver.","P宇宙戦艦ヤマト2202 ONLY ONE YR",,"宇宙戦艦ヤマト2202甘","ビスティ",,"甘デジ","2P0416","2023/2/6","0","0","1"
"9790","P","P銭形平次3 お静99","P銭形平次3V2A",,"銭形平次3甘","高尾",,"甘デジ","2P1404","2023/4/3","0","0","1"
"9789","P","PA戦国乙女レジェンドバトル ときめき89バージョン「PB機」","PA戦国乙女レジェンドバトル89GO2",,"戦国乙女レジェンドバトル甘 ","アムテックス",,"甘デジ","210140","2023/2/6","0","1","1"
"9788","P","P聖戦士ダンバイン2 -ZEROLIMIT HYPER-","P聖戦士ダンバイン2ZEROLIMITHSFJA",,"聖戦士ダンバイン2","サミー",,"ミドル","210323","2023/4/3","0","0","1"
"9787","P","Pプロゴルファー猿 EMPEROR MODEL","Pプロゴルファー猿M4",,"プロゴルファー猿4","豊丸",,"ミドル","2P1340","2023/4/3","0","0","1"
"9786","S","スマスロ北斗の拳","L パチスロ北斗の拳AD XR",,"スマスロ北斗","サミー","6.5号機","AT","2S1502","2023/4/3","1","0","1"
"9785","S","スロドル","SスロドルPK",,"スロドル","コナミアミューズメント","6.5号機","AT","230336","2023/3/20","0","0","1"
"9784","P","P真速のガッチャマン","P真速のガッチャマンXINN",,"真速のガッチャマン","七匠",,"ミドル","2P0224","2023/2/6","0","0","1"
"9783","S","キングハナハナ-30","SキングハナハナSP-30",,"キングハナハナ-30","パイオニア","6号機","A","2S1569","2023/3/20","0","0","1"
"9782","P","P神・天才バカボン~甘神SPEC~","P天才バカボン6FD-RS",,"神・天才バカボン~甘神SPEC~","Daiichi",,"ライトミドル","1P1094","2023/2/6","0","0","1"
"9781","P","P009 RE:CYBORG ACCELERATOR EDITION 99ver.","P009 RE:CYBORG N3-K",,"P009 RE:CYBORG AE 99ver.","ニューギン",,"甘デジ","1P0971","2023/3/6","0","0","1"
"9780","P","P真・北斗無双 第3章 覚醒闘舞","P真北斗無双3覚醒闘舞GCD",,"真・北斗無双 第3章 覚醒闘舞","サミー",,"ライトミドル","210115","2023/3/6","0","0","1"
"9779","P","PFアクエリオン極合体","Pフィーバーアクエリオン7F",,"アクエリオン極合体","SANKYO",,"ミドル","210303","2023/3/6","0","0","1"
"9778","S","パチスロ 探偵オペラ ミルキィホームズR 大収穫祭!!!!","SパチスロミルキィホームズGNB",,"ミルキィ大収穫祭","カルミナ","6.5号機","AT","230198","2023/2/20","0","0","1"
"9777","S","大花満","S大花満SB",,"大花満","JPS","6.5号機","AT","2S1390","2023/1/30","0","0","1"
"9776","P","P地獄少女覚醒3000Ver.","P地獄少女覚醒3000Ver.FHZ",,"地獄少女覚醒3000Ver.","藤商事",,"ミドル","210181","2023/2/20","0","0","1"
"9775","S","パチスロ 緋弾のアリアII","S緋弾のアリアII JZ",,"緋弾のアリアII","JFJ","6.5号機","AT","230177","2023/2/6","0","0","1"
"9774","P","PA SUPER電役ナナシーSPECIAL66 Ver2.0","PAナナシーSPECIAL1VV",,"SUPER電役ナナシーSP66 Ver2.0","豊丸",,"その他","2P0174","2023/1/10","0","0","1"
"9773","P","Pだるまっしゅ2 119ver.","Pだるまっしゅ2 N-KC",,"だるまっしゅ2 119ver.","ニューギン",,"甘デジ","210071","2023/2/6","0","0","1"
"9772","P","PA緋弾のアリア ~緋弾覚醒編~","PA緋弾のアリア ~緋弾覚醒編~FRA",,"緋弾のアリア ~緋弾覚醒編~","藤商事",,"甘デジ","1P1761","2023/1/10","0","1","1"
"9771","S","パチスロ盾の勇者の成り上がり","S パチスロ盾の勇者の成り上がり KS",,"盾の勇者","サミー","6.5号機","AT","2S0711","2023/2/20","0","0","1"
"9770","P","P牙狼GOLD IMPACT","P牙狼ゴールドインパクトXX-MZ",,"牙狼GOLD IMPACT","サンセイR&D",,"ミドル","2P0984","2023/1/23","0","0","1"
"9769","S","戦国コレクション5","S戦国コレクション5PS",,"戦コレ5","コナミアミューズメント","6.5号機","AT","2S1018","2023/3/6","0","0","1"
"9768","P","P大海物語5","P大海物語5MTE2",,"大海物語5","三洋物産",,"ミドル","210280","2023/2/6","0","0","1"
"9767","P","P真バジリスク~甲賀忍法帖~豪塊W319ver.","P真バジリスクLF",,"真バジリスク~甲賀忍法帖~ 319ver.","メーシー",,"ミドル","2P1130","2023/2/6","0","0","1"
"9766","P","P真・北斗無双 第4章","P真北斗無双4GFPH",,"真・北斗無双 第4章","サミー",,"ミドル","210262","2023/2/6","0","0","1"
"9765","P","Psin 七つの大罪 X-TREME","Psin七つの大罪V1K",,"七つの大罪 X-TREME","高尾",,"ミドル","210159","2023/3/6","0","0","1"
"9764","P","PAコマコマ倶楽部with坂本冬美 ごらくバージョン「PB機」","PAコマコマ倶楽部with坂本冬美VV1",,"コマコマ倶楽部with坂本冬美","豊丸",,"甘デジ","2P0549","2022/12/5","0","1","1"
"9763","P","Pルパン三世 2000カラットの涙 129ver.","Pルパン三世2000カラットの涙L2AZ1",,"ルパン三世 2000カラットの涙 129ver.","平和",,"ライトミドル","1P1481","2023/3/6","0","0","1"
"9762","P","P麻雀物語4 77ver.","P麻雀物語47AR1Y",,"麻雀物語4 77ver.","平和",,"甘デジ","2P0251","2023/3/6","0","1","1"
"9761","P","Pルパン三世 THE FIRST","Pルパン三世真速H1YZ1",,"ルパン三世 THE FIRST","平和",,"ミドル","2P0960","2023/3/6","0","0","1"
"9760","P","PFダンベル何キロ持てる?","Pフィーバーダンベル何キロ持てる?V",,"ダンベル何キロ持てる?","SANKYO",,"ミドル","2P1346","2023/2/6","0","0","1"
"9759","S","もっと!チバリヨ-25","SもっとチバリヨGZA",,"もっとチバリヨ-25","ネット","6号機","AT","230114","2023/1/10","0","0","1"
"9758","P","PハイスクールD×D真紅GCA","PハイスクールD×D真紅GCA",,"ハイスクールD×D真紅GCA","西陣",,"甘デジ","2P0358","2023/1/10","0","0","1"
"9757","P","P桃剣閃撃 極","Pモモキュンソード閃撃~極~ZH",,"桃剣閃撃 極","西陣",,"ミドル","2P0792","2023/1/23","0","0","1"
"9756","S","トリプルクラウンビンテージ","SトリプルクラウンVK-30",,"トリクラビンテージ","清龍ゲームジャパン","6号機","A","2S0774","2022/11/21","0","0","1"
"9755","S","SモモキュンソードDX","SモモキュンソードDX",,"モモキュンソードDX","西陣","6.5号機","AT","230223","2023/1/10","0","0","1"
"9754","P","Pビッグドリーム3","PビッグドリームSFJJ",,"ビッグドリーム3","サミー",,"ミドル","2P0783","2023/1/10","0","0","1"
"9753","S","パチスロ戦国無双3","Sパチスロ戦国無双3ZYTCD",,"戦国無双3","山佐ネクスト","6.5号機","AT","2S0591","2023/2/6","0","0","1"
"9752","P","ぱちんこ アズールレーン THE ANIMATION","PぱちんこアズールレーンTHE ANIMATION MC2",,"ぱちんこ アズールレーン","京楽",,"その他","2P0629","2022/12/5","0","1","1"
"9751","P","P真・花の慶次3 -黄金一閃-","P真・花の慶次3TL5-MX",,"真・花の慶次3 -黄金一閃-","ニューギン",,"ミドル","2P0966","2023/1/23","0","0","1"
"9750","S","沖ドキ!GOLD-30","S/沖ドキ!GOLD/LS",,"沖ドキGOLD-30","ミズホ","6.5号機","AT","2S1205","2022/12/19","0","0","1"
"9749","S","パチスロ 真俺の空","S真俺の空ST",,"真俺の空","スパイキー","6.5号機","AT","2S1075","2022/12/19","0","0","1"
"9748","P","PAスーパー海物語 IN 沖縄5 夜桜超旋風 99ver.","PAスーパー海物語IN沖縄5YBA",,"沖海5 夜桜超旋風 99ver.","三洋物産",,"甘デジ","2P0057","2023/1/10","0","0","1"
"9747","P","P戦国乙女 LEGEND BATTLE 99ver.","P戦国乙女レジェンドバトル9YU1Y",,"戦国乙女 LEGEND BATTLE 99ver.","アムテックス",,"甘デジ","2P0679","2023/2/6","0","1","1"
"9746","P","Pシティーハンター 俺の心を震わせた日","Pシティーハンター4H1YZ7",,"シティーハンター 俺の心を震わせた日","アムテックス",,"ミドル","210236","2023/1/10","0","0","1"
"9745","P","P TIGER & BUNNY ~完全無欠WILDスペック~","Pタイガー&バニーSFQA",,"タイバニ ~完全無欠WILDスペック~","サミー",,"ミドル","2P0576","2022/12/19","0","0","1"
"9744","P","PAゴールデン鳳凰∞Jr.99","PAゴールデン鳳凰∞",,"ゴールデン鳳凰∞Jr.99","マルホン",,"甘デジ","2P0099","2022/11/7","0","0","1"
"9743","P","PA獅子王Jr.99","PA獅子王",,"獅子王Jr.99","マルホン",,"甘デジ","1P1944","2022/11/7","0","0","1"
"9742","P","Pゴッドイーター神がかりVer.","Pゴッドイーター荒神VerRAY3",,"ゴッドイーター神がかりVer.","サンセイR&D",,"ミドル","2P0769","2022/12/19","0","0","1"
"9741","P","P華牌RRwith清水あいり ごらくバージョン「PB機」","P華牌RRwith清水あいりV3",,"華牌RRwith清水あいり 「PB機」","豊丸",,"甘デジ","2P0892","2022/11/7","0","1","1"
"9740","P","P大開王","P大開王X",,"大開王","ジェイビー",,"ミドル","2P1196","2023/1/10","0","0","1"
"9739","P","PネオモンスターハウスMXL","PネオモンスターハウスMXL",,"ネオモンスターハウスMXL","竹屋",,"ミドル","2P0835","2022/12/5","0","0","1"
"9738","S","沖ドキ!GOLD","S/沖ドキ!GOLD/GS",,"沖ドキGOLD","ユニバーサルブロス","6.5号機","AT","2S0961","2022/12/19","0","0","1"
"9737","P","Pもっとあぶない刑事","Pもっとあぶない刑事L3-MX",,"もっとあぶない刑事","ニューギン",,"ミドル","2P0863","2022/12/5","0","0","1"
"9736","S","パチスロ 這いよれ!ニャル子さん","Sハイヨレ!ニャルコサンY",,"ニャル子さん","エキサイト","6.5号機","AT","2S0811","2022/12/5","0","0","1"
"9735","P","Pゴジラ対エヴァンゲリオン ~G細胞覚醒~","Pゴジラ対エヴァンゲリオン G細胞覚醒L",,"ゴジラ対エヴァ ~G細胞覚醒~","ビスティ",,"ミドル","210166","2022/12/19","0","0","1"
"9734","P","Pダイナマイトキング~無敵SPEC~","PダイナマイトキングEXFN-T",,"ダイナマイトキング~無敵SPEC~","Daiichi",,"その他","210184","2022/12/5","0","0","1"
"9733","S","HEY!エリートサラリーマン鏡","L HEY!エリートサラリーマン鏡PA4",,"L鏡","パオン・ディーピー","6.5号機","AT","2S0855","2022/12/5","1","0","1"
"9732","S","パチスロ モンスターハンターワールド:アイスボーンTM","S MHWアイスボーンZF",,"モンハンIB","エンターライズ","6.5号機","AT","2S1204","2023/1/30","0","0","1"
"9731","P","PバーストエンジェルEX 99Ver.","PバーストエンジェルEX2V",,"バーストエンジェルEX 99Ver.","豊丸",,"甘デジ","210052","2022/11/7","0","0","1"
"9730","P","P聖闘士星矢 超流星 女神ゴールドver.1500","P聖闘士星矢超流星HTC15",,"聖闘士星矢 超流星 女神Gver.1500","三洋物産",,"ミドル","1P1893","2022/12/5","0","0","1"
"9729","P","P聖闘士星矢 超流星 星矢ゴールドver.92%","P聖闘士星矢超流星HTB",,"聖闘士星矢 超流星 星矢Gver.92%","三洋物産",,"ミドル","1P1513","2022/12/5","0","0","1"
"9728","S","もっと!チバリヨ-30","SもっとチバリヨNB-30",,"もっとチバリヨ-30","ネット","6号機","AT","1S1924","2022/12/19","0","0","1"
"9727","P","P銀河鉄道999 Next Journey","P銀河鉄道999NJH1AZ3",,"銀河鉄道999 Next Journey","アムテックス",,"ミドル","210120","2022/12/5","0","0","1"
"9726","P","P10カウントチャージ絶狼 神撃135Ver.","P10カウントチャージ絶狼135-RH",,"10カウントチャージ絶狼 神撃135Ver.","サンセイR&D",,"ライトミドル","2P0359","2022/11/7","0","1","1"
"9725","S","パチスロ 革命機ヴァルヴレイヴ","L革命機ヴァルヴレイヴD",,"ヴァルヴレイヴ","SANKYO","6.5号機","AT","2S0869","2022/11/21","1","0","1"
"9724","S","パチスロ鉄拳4アルティメットデビルVer.","Sパチスロ鉄拳4デビルバージョンTCD",,"鉄拳4デビルVer.","山佐","6.5号機","AT","2S0327","2022/11/7","0","0","1"
"9723","P","P新・遠山の金さん","P新・遠山の金さんJQC",,"新・遠山の金さん","JFJ",,"ライトミドル","2P0580","2022/11/7","0","1","1"
"9722","S","SLOT とある科学の超電磁砲","Sとある科学の超電磁砲FB",,"レールガン","藤商事","6.5号機","AT","2S0622","2022/11/7","0","0","1"
"9721","S","スマスロリノヘブン","LアナザーリノヘブンCC",,"リノヘブン","山佐","6.5号機","AT","2S0866","2022/11/21","1","0","1"
"9720","S","Lバキ 強くなりたくば喰らえ!!!","LバキL3",,"バキ","オリンピア","6.5号機","AT","2S0749","2022/11/21","1","0","1"
"9719","S","パチスロ幼女戦記","S パチスロ幼女戦記 ZR",,"幼女戦記","サミー","6.5号機","AT","2S0766","2022/12/5","0","0","1"
"9718","P","Pワンパンマン","PワンパンマンL3-MX",,"ワンパンマン","ニューギン",,"ミドル","2P0435","2022/11/7","0","0","1"
"9717","P","P七つの大罪2","P七つの大罪2GFPA",,"七つの大罪2","サミー",,"ミドル","210158","2022/11/7","0","0","1"
"9716","P","ぱちんこ ウルトラマンティガ 1500×84","PぱちんこウルトラマンティガK17",,"ウルトラマンティガ 1500×84","オッケー.",,"ミドル","2P0708","2022/10/3","0","0","1"
"9715","P","P弾球黙示録カイジ5 ざわっ...Ver.","P弾球黙示録カイジ5N3A",,"弾球黙示録カイジ5 ざわっ...Ver.","高尾",,"甘デジ","1P1876","2022/11/7","0","0","1"
"9714","P","P GO!GO!マリン 超連撃BATTLE","PGO!GO!マリン3JTD",,"GO!GO!マリン 超連撃BATTLE","サンスリー",,"ミドル","2P0381","2022/11/7","0","0","1"
"9713","P","Pターミネーター2 TYPE7500","Pターミネーター2V2H1AZ5",,"ターミネーター2 TYPE7500","アムテックス",,"ミドル","2P0259","2022/11/7","0","0","1"
"9712","S","ラストユートピア","SラストユートピアMY",,"ラストユートピア","パイオニア","6号機","A","1S1578","2022/11/7","0","0","1"
