"ID","区分","機種名","型式名","慣用名","短縮名","メーカー","内規","カテゴリー","型式番号","導入開始日","スマート","遊タイム","有効"
"10470","P","e ライザのアトリエ ～常闇の女王と秘密の隠れ家～","eライザのアトリエK3",,"eライザのアトリエ","京楽",,"ライトミドル","5P1848","2026/5/7","1","0","1"
"10469","P","eひきこまり吸血姫の悶々","eひきこまり吸血姫の悶々FHV",,"eひきこまり吸血姫の悶々","藤商事",,"その他","511107","2026/5/11","1","0","1"
"10468","S","Lパチスロ 機動戦士ガンダムユニコーン 覚醒DRIVE","L機動戦士ガンダムユニコーン2jA",,"Lユニコーン2","ビスティ","6.5号機","AT","5S1377","2026/4/20","1","0","1"
"10467","P","eカケグルイ 7500ver","eカケグルイ~生か死か~LTT-KR",,"eカケグルイ 7500ver","D-light",,"ライトミドル","511222","2026/5/11","1","0","1"
"10466","P","eカケグルイ 219ver","eカケグルイLTT-NV",,"eカケグルイ 219ver","D-light",,"ライトミドル","5P1654","2026/5/11","1","0","1"
"10465","S","スマート沖スロ ダークハイビ","LダークハイビSB",,"Lダークハイビ","パイオニア","6.5号機","AT","6S0070","2026/6/22","1","0","1"
"10464","P","PFクィーンII「2026年」","PAフィーバークィーンIIYS",,"クィーンII「2026年」","SANKYO",,"甘デジ","5P1442","2026/5/11","0","0","1"
"10463","P","eリコリス・リコイル","eリコリス・リコイルM3",,"eリコリス・リコイル","ニューギン",,"ライトミドル","510852","2026/4/6","1","0","1"
"10462","P","PAスーパー海物語IN沖縄6 Withえなこ","PAスーパー海物語IN沖縄6RBD",,"スーパー海物語IN沖縄6 Withえなこ","三洋物産",,"甘デジ","5P1699","2026/6/8","0","0","1"
"10461","P","eルパン三世VSキャッツ・アイ157ver. 極限突破ブッた斬り7500","eルパン三世VSキャッツアイLBM6",,"eルパン三世VSキャッツ・アイ157ver.","アムテックス",,"ライトミドル","5P1547","2026/5/11","1","0","1"
"10460","S","Lタクトオーパス デスティニー","LタクトオーパスM1",,"Lタクトオーパス デスティニー","アムテックス","6.5号機","AT","5S1493","2026/5/11","1","0","1"
